100	7	43
101	8	43
102	8	44
103	8	44
104	8	45
105	9	45
106	9	46
107	9	46
108	9	47
109	10	47
110	10	48
111	10	48
112	10	49
113	11	49
114	11	50
115	11	50
116	11	51
117	12	51
118	12	52
119	12	52
120	12	53
121	13	53
122	13	54
123	13	54
124	13	55
125	14	55
126	14	56
127	14	56
128	14	57
129	15	57
130	15	58
131	15	58
132	15	59
133	16	59
134	6	40
135	6	40
136	7	40
137	6	41
138	7	41
139	7	41
140	7	42
141	7	42
142	8	42
143	7	43
144	8	43
145	8	43
146	8	44
147	8	44
148	9	44
149	8	45
150	9	45
151	9	45
152	9	46
153	9	46
154	10	46
155	9	47
156	10	47
157	10	47
158	10	48
159	10	48
160	11	48
161	10	49
162	11	49
163	11	49
164	11	50
165	11	50
166	12	50
167	11	51
168	12	51
169	12	51
170	12	52
171	12	52
172	13	52
173	12	53
174	6	40
175	6	40
176	7	40
177	7	40
178	6	41
179	7	41
180	7	41
181	8	41
182	7	42
183	7	42
184	8	42
185	8	42
186	7	43
187	8	43
188	8	43
189	9	43
190	8	44
191	8	44
192	9	44
193	9	44
194	8	45
195	9	45
196	9	45
197	10	45
198	9	46
199	9	46
200	10	46
201	10	46
202	9	47
203	10	47
204	10	47
205	11	47
206	10	48
207	10	48
208	11	48
209	11	48
210	10	49
211	11	49
212	11	49
213	12	49
214	6	40
215	6	40
216	7	40
217	7	40
218	8	40
219	6	41
220	7	41
221	7	41
222	8	41
223	8	41
224	7	42
225	7	42
226	8	42
227	8	42
228	9	42
229	7	43
230	8	43
231	8	43
232	9	43
233	9	43
234	8	44
235	8	44
236	9	44
237	9	44
238	10	44
239	8	45
240	9	45
241	9	45
242	10	45
243	10	45
244	9	46
245	9	46
246	10	46
247	10	46
248	11	46
249	9	47
250	10	47
251	10	47
252	11	47
253	11	47
254	6	40
255	6	40
256	7	40
257	7	40
258	8	40
259	8	40
260	6	41
261	7	41
262	7	41
263	8	41
264	8	41
265	9	41
266	7	42
267	7	42
268	8	42
269	8	42
270	9	42
271	9	42
272	7	43
273	8	43
274	8	43
275	9	43
276	9	43
277	10	43
278	8	44
279	8	44
280	9	44
281	9	44
282	10	44
283	10	44
284	8	45
285	9	45
286	9	45
287	10	45
288	10	45
289	11	45
290	9	46
291	9	46
292	10	46
293	10	46
294	6	40
295	6	40
296	7	40
297	7	40
298	8	40
299	8	40
300	9	40
301	6	41
302	7	41
303	7	41
304	8	41
305	8	41
306	9	41
307	9	41
308	7	42
309	7	42
310	8	42
311	8	42
312	9	42
313	9	42
314	10	42
315	7	43
316	8	43
317	8	43
318	9	43
319	9	43
320	10	43
321	10	43
322	8	44
323	8	44
324	9	44
325	9	44
326	10	44
327	10	44
328	11	44
329	8	45
330	9	45
331	9	45
332	10	45
333	10	45
334	6	40
335	6	40
336	7	40
337	7	40
338	8	40
339	8	40
340	9	40
341	9	40
342	6	41
343	7	41
344	7	41
345	8	41
346	8	41
347	9	41
348	9	41
349	10	41
350	7	42
351	7	42
352	8	42
353	8	42
354	9	42
355	9	42
356	10	42
357	10	42
358	7	43
359	8	43
360	8	43
361	9	43
362	9	43
363	10	43
364	10	43
365	11	43
366	8	44
367	8	44
368	9	44
369	9	44
370	10	44
371	10	44
372	11	44
373	11	44
374	6	40
375	6	40
376	7	40
377	7	40
378	8	40
379	8	40
380	9	40
381	9	40
382	10	40
383	6	41
384	7	41
385	7	41
386	8	41
387	8	41
388	9	41
389	9	41
